,hour,dayofweek,month,year,day_before
2018-08-07 00:00:00,0,1,8,2018,37158.0
2018-08-07 01:00:00,1,1,8,2018,34283.0
2018-08-07 02:00:00,2,1,8,2018,32094.0
2018-08-07 03:00:00,3,1,8,2018,30543.0
2018-08-07 04:00:00,4,1,8,2018,29791.0
2018-08-07 05:00:00,5,1,8,2018,29854.0
2018-08-07 06:00:00,6,1,8,2018,31197.0
2018-08-07 07:00:00,7,1,8,2018,33182.0
2018-08-07 08:00:00,8,1,8,2018,35645.0
2018-08-07 09:00:00,9,1,8,2018,37810.0
2018-08-07 10:00:00,10,1,8,2018,39902.0
2018-08-07 11:00:00,11,1,8,2018,42189.0
2018-08-07 12:00:00,12,1,8,2018,43954.0
2018-08-07 13:00:00,13,1,8,2018,45372.0
2018-08-07 14:00:00,14,1,8,2018,46534.0
2018-08-07 15:00:00,15,1,8,2018,47154.0
2018-08-07 16:00:00,16,1,8,2018,46989.0
2018-08-07 17:00:00,17,1,8,2018,46816.0
2018-08-07 18:00:00,18,1,8,2018,46760.0
2018-08-07 19:00:00,19,1,8,2018,45641.0
2018-08-07 20:00:00,20,1,8,2018,44057.0
2018-08-07 21:00:00,21,1,8,2018,43256.0
2018-08-07 22:00:00,22,1,8,2018,41552.0
2018-08-07 23:00:00,23,1,8,2018,38500.0
